"mt_id","cluster"
"3089_58","2"
"3089_59","2"
"3089_6","2"
"3089_61","1"
"3089_62","2"
"3089_65","2"
"3089_67","1"
"3089_69","1"
"3089_72","1"
"3089_74","2"
"3089_75","1"
"3089_77","2"
"3089_78","2"
"3089_79","2"
"3089_83","2"
"3089_84","1"
"3089_87","1"
"3089_88","1"
"3089_90","2"
"3089_93","2"
"3089_95","1"
"3089_96","2"
"3093_0","2"
"3093_1","2"
"3093_101","2"
"3093_102","2"
"3093_103","2"
"3093_104","2"
"3093_107","2"
"3093_111","2"
"3093_112","2"
"3093_113","2"
"3093_118","2"
"3093_13","2"
"3093_14","2"
"3093_19","1"
"3093_2","2"
"3093_21","1"
"3093_23","2"
"3093_24","2"
"3093_26","2"
"3093_27","2"
"3093_28","2"
"3093_3","2"
"3093_31","2"
"3093_35","1"
"3093_36","2"
"3093_38","2"
"3093_39","2"
"3093_40","2"
"3093_41","2"
"3093_42","2"
"3093_49","2"
"3093_52","1"
"3093_55","2"
"3093_56","1"
"3093_58","2"
"3093_59","2"
"3093_60","2"
"3093_65","2"
"3093_68","2"
"3093_69","2"
"3093_7","2"
"3093_70","2"
"3093_71","2"
"3093_77","2"
"3093_78","2"
"3093_8","2"
"3093_82","2"
"3093_83","1"
"3093_84","2"
"3093_85","2"
"3093_86","2"
"3093_90","2"
"3093_91","2"
"3093_95","1"
"3093_98","1"
"3096_100","2"
"3096_104","2"
"3096_105","3"
"3096_107","2"
"3096_111","2"
"3096_112","3"
"3096_114","2"
"3096_116","1"
"3096_118","2"
"3096_14","2"
"3096_15","2"
"3096_20","2"
"3096_22","2"
"3096_23","3"
"3096_25","2"
"3096_27","2"
"3096_28","3"
"3096_29","1"
"3096_30","2"
"3096_36","1"
"3096_38","2"
"3096_39","2"
"3096_40","2"
"3096_43","2"
"3096_47","2"
"3096_49","2"
"3096_50","2"
"3096_52","1"
"3096_54","2"
"3096_58","2"
"3096_59","2"
"3096_61","2"
"3096_62","2"
"3096_69","2"
"3096_7","3"
"3096_72","2"
"3096_74","2"
"3096_75","1"
"3096_79","2"
"3096_83","2"
"3096_87","2"
"3096_88","2"
"3096_93","2"
"3096_95","1"
"3096_96","3"
"3110_1","2"
"3110_10","2"
"3110_101","2"
"3110_104","3"
"3110_105","2"
"3110_109","2"
"3110_110","2"
"3110_111","2"
"3110_112","2"
"3110_114","2"
"3110_115","2"
"3110_12","2"
"3110_13","2"
"3110_16","2"
"3110_18","2"
"3110_2","2"
"3110_24","2"
"3110_25","2"
"3110_28","2"
"3110_29","2"
"3110_3","2"
"3110_30","2"
"3110_32","2"
"3110_35","2"
"3110_36","2"
"3110_38","2"
"3110_40","2"
"3110_47","2"
"3110_49","2"
"3110_5","2"
"3110_52","2"
"3110_54","2"
"3110_57","2"
"3110_58","2"
"3110_60","2"
"3110_62","2"
"3110_64","2"
"3110_65","3"
"3110_66","2"
"3110_70","2"
"3110_73","3"
"3110_74","2"
"3110_76","2"
"3110_77","2"
"3110_79","2"
"3110_8","2"
"3110_81","2"
"3110_85","2"
"3110_88","2"
"3110_89","3"
"3110_90","2"
"3110_91","2"
"3110_92","2"
"3110_95","2"
"3110_96","2"
"3110_97","3"
"3112_0","3"
"3112_101","2"
"3112_102","1"
"3112_105","1"
"3112_107","1"
"3112_108","1"
"3112_109","1"
"3112_111","1"
"3112_114","1"
"3112_117","1"
"3112_12","3"
"3112_14","3"
"3112_19","3"
"3112_28","3"
"3112_3","3"
"3112_33","3"
"3112_34","3"
"3112_39","3"
"3112_42","3"
"3112_47","3"
"3112_48","1"
"3112_49","2"
"3112_51","2"
