"cluster","DP","group","submission_id","item_id","x_startDP","x_endDP","x_DPDiff"
"1","actually","reliable",2953,157,0,0,0
"1","actually","reliable",2958,111,0,-0.00392927308447937,-0.00392927308447937
"1","actually","reliable",2958,114,0,0,0
"1","actually","reliable",2958,115,0,0.0487012987012987,0.0487012987012987
"1","actually","reliable",2958,120,0.00316957210776545,0.00316957210776545,0
"1","actually","reliable",2958,121,0,0,0
"1","actually","reliable",2958,124,0,0,0
"1","actually","reliable",2958,127,0,0.00516351118760757,0.00516351118760757
"1","actually","reliable",2958,128,0,0,0
"1","actually","reliable",2958,130,0,0.0155642023346304,0.0155642023346304
"1","actually","reliable",2958,147,0,0,0
"1","actually","reliable",2958,149,0,-0.00564971751412429,-0.00564971751412429
"1","actually","reliable",2958,151,0,0.00958415841584158,0.00958415841584158
"1","actually","reliable",2958,160,0,0,0
"1","actually","reliable",2959,106,0,0.00128369704749679,0.00128369704749679
"1","actually","reliable",2959,110,0,0,0
"1","actually","reliable",2959,113,0,0,0
"1","actually","reliable",2959,117,0,0,0
"1","actually","reliable",2959,121,0,0,0
"1","actually","reliable",2959,124,0,0,0
"1","actually","reliable",2959,127,0,0.00834326579261025,0.00834326579261025
"1","actually","reliable",2959,136,0,0,0
"1","actually","reliable",2959,148,-0.00128205128205128,-0.00128205128205128,0
"1","actually","reliable",2959,150,0,0,0
"1","actually","reliable",2959,151,-0.0060459492140266,-0.00725513905683192,-0.00120918984280532
"1","actually","reliable",2976,101,-0.00475435816164818,-0.0142630744849445,-0.00950871632329636
"1","actually","reliable",2976,105,0,0.0130597014925373,0.0130597014925373
"1","actually","reliable",2976,109,0.00731261425959781,0.00731261425959781,0
"1","actually","reliable",2976,112,0.00506756756756757,0.00506756756756757,0
"1","actually","reliable",2976,121,-0.0050251256281407,-0.0067001675041876,-0.0016750418760469
"1","actually","reliable",2976,122,-0.0035650623885918,-0.0267379679144385,-0.0231729055258467
"1","actually","reliable",2976,124,0,0,0
"1","actually","reliable",2976,136,-0.00860068259385665,-0.0511945392491468,-0.0425938566552901
"1","actually","reliable",2976,137,0,0,0
"1","actually","reliable",2976,139,0,0.0180167264038232,0.0180167264038232
"1","actually","reliable",2976,142,0.00966183574879227,0.0112721417069243,0.00161030595813205
"1","actually","reliable",2976,144,0,0,0
"1","actually","reliable",2976,145,-0.00878734622144113,-0.0105448154657293,-0.00175746924428822
"1","actually","reliable",2976,150,0.00558659217877095,0.00931098696461825,0.0037243947858473
"1","actually","reliable",2976,155,0,0,0
"1","actually","reliable",2976,157,0,0,0
"1","actually","reliable",2978,104,0,0,0
"1","actually","reliable",2978,105,0,0,0
"1","actually","reliable",2978,109,0,0,0
"1","actually","reliable",2978,110,0,0,0
"1","actually","reliable",2978,119,0,0,0
"1","actually","reliable",2978,120,0,0,0
"1","actually","reliable",2978,122,0,-0.00117799505242078,-0.00117799505242078
"1","actually","reliable",2978,123,0,0,0
"1","actually","reliable",2978,130,0,0,0
"1","actually","reliable",2978,133,0,0,0
"1","actually","reliable",2978,135,0,0,0
"1","actually","reliable",2978,136,0,0,0
"1","actually","reliable",2978,137,0,0,0
"1","actually","reliable",2978,139,0,0,0
"1","actually","reliable",2978,141,0,0,0
"1","actually","reliable",2978,142,0,0,0
"1","actually","reliable",2978,143,0,0,0
"1","actually","reliable",2978,145,0.0126516464471404,0.00866551126516464,-0.00398613518197574
"1","actually","reliable",2978,147,0,0,0
"1","actually","reliable",2978,152,0,0,0
"1","actually","reliable",2978,156,0,0,0
"1","actually","reliable",2978,157,0,0,0
"1","actually","reliable",2978,159,0,0,0
"1","actually","reliable",2978,160,0,0,0
"1","actually","reliable",3025,101,0,0,0
"1","actually","reliable",3025,125,0,0,0
"1","actually","reliable",3025,157,0.00129627651638455,0.033178965250651,0.0318826887342665
"1","actually","reliable",3026,106,0,0,0
"1","actually","reliable",3026,114,0,0,0
"1","actually","reliable",3026,119,0,0,0
